DATE,GS10
1954-01-01,2.40
1955-01-01,2.82
1956-01-01,3.18
1957-01-01,3.65
1958-01-01,3.32
1959-01-01,4.33
1960-01-01,4.12
1961-01-01,3.88
1962-01-01,3.95
1963-01-01,4.00
1964-01-01,4.19
1965-01-01,4.28
1966-01-01,4.92
1967-01-01,5.07
1968-01-01,5.65
1969-01-01,6.67
1970-01-01,7.35
1971-01-01,6.16
1972-01-01,6.21
1973-01-01,6.84
1974-01-01,7.56
1975-01-01,7.99
1976-01-01,7.61
1977-01-01,7.42
1978-01-01,8.41
1979-01-01,9.44
1980-01-01,11.46
1981-01-01,13.91
1982-01-01,13.00
1983-01-01,11.11
1984-01-01,12.44
1985-01-01,10.62
1986-01-01,7.68
1987-01-01,8.38
1988-01-01,8.85
1989-01-01,8.50
1990-01-01,8.55
1991-01-01,7.86
1992-01-01,7.01
1993-01-01,5.87
1994-01-01,7.08
1995-01-01,6.58
1996-01-01,6.44
1997-01-01,6.35
1998-01-01,5.26
1999-01-01,5.64
2000-01-01,6.03
2001-01-01,5.02
2002-01-01,4.61
2003-01-01,4.02
2004-01-01,4.27
2005-01-01,4.29
2006-01-01,4.79
2007-01-01,4.63
2008-01-01,3.67
2009-01-01,3.26
2010-01-01,3.21
2011-01-01,2.79
2012-01-01,1.80
2013-01-01,2.35
2014-01-01,2.54
2015-01-01,2.14
2016-01-01,1.84
2017-01-01,2.33
